Date, Open, High, Low, Close, Volume
12/31/24, 390.01, 391.46, 387.30, 388.99, 2179671
12/30/24, 390.53, 391.21, 385.68, 389.43, 2444858
12/27/24, 392.14, 395.47, 391.37, 392.86, 1942681
12/26/24, 392.52, 395.78, 391.62, 395.14, 1321218
12/24/24, 392.13, 396.14, 390.50, 396.14, 1392629
12/23/24, 391.10, 393.24, 387.03, 392.45, 2434007
12/20/24, 383.37, 393.2872, 383.05, 392.60, 8046363
12/19/24, 394.74, 395.14, 384.89, 385.02, 4576147
12/18/24, 407.00, 410.71, 393.38, 393.82, 4225524
12/17/24, 410.00, 410.40, 406.23, 408.47, 3726820
12/16/24, 417.85, 418.48, 410.69, 410.71, 2879619
12/13/24, 415.77, 418.14, 414.18, 416.98, 2649853
12/12/24, 421.43, 422.75, 413.18, 414.42, 3673612
12/11/24, 425.23, 428.00, 421.26, 421.38, 4211198
12/10/24, 426.90, 427.31, 421.41, 422.59, 3354873
12/09/24, 432.35, 436.36, 428.03, 429.18, 3425988
12/06/24, 428.70, 435.75, 427.01, 431.37, 3161705
12/05/24, 426.60, 429.7594, 425.88, 426.54, 2523528
12/04/24, 426.41, 428.83, 425.50, 427.92, 1969019
12/03/24, 429.73, 430.68, 423.32, 429.35, 2713985
12/02/24, 429.00, 430.40, 423.155, 426.96, 2617198
11/29/24, 428.56, 431.00, 427.54, 429.13, 2028714
11/27/24, 428.60, 430.10, 425.96, 427.19, 2293453
11/26/24, 428.60, 439.37, 424.695, 429.52, 2758597
11/25/24, 425.00, 430.25, 424.46, 428.67, 4544233
11/22/24, 412.09, 420.14, 410.95, 420.00, 4932501
11/21/24, 401.33, 411.39, 400.38, 410.45, 3722586
11/20/24, 406.00, 406.70, 399.92, 400.00, 4732195
11/19/24, 408.38, 409.16, 399.36, 406.80, 3239356
11/18/24, 405.50, 412.54, 403.95, 410.44, 3394375
11/15/24, 402.90, 408.91, 402.90, 408.18, 3239545
11/14/24, 408.00, 411.50, 404.39, 405.72, 3348056
11/13/24, 409.13, 412.7399, 406.7201, 410.19, 3083105
11/12/24, 414.25, 416.02, 402.19, 403.08, 5647107
11/11/24, 407.77, 411.60, 405.825, 408.29, 4071533
11/08/24, 404.00, 406.40, 402.3001, 405.90, 3448699
11/07/24, 391.00, 399.76, 390.80, 399.44, 4323070
11/06/24, 394.04, 394.04, 381.72, 388.37, 7133367
11/05/24, 394.97, 400.23, 393.8601, 400.09, 2496489
11/04/24, 391.95, 400.48, 391.07, 395.57, 2690877
11/01/24, 394.80, 398.71, 392.01, 392.59, 3277974
10/31/24, 390.50, 395.67, 390.50, 393.75, 2518637
10/30/24, 395.00, 397.69, 391.94, 392.52, 2795609
10/29/24, 393.94, 399.105, 389.05, 395.07, 3822679
10/28/24, 403.45, 405.8399, 401.95, 402.89, 2586529
10/25/24, 403.52, 403.52, 397.83, 398.91, 1941426
10/24/24, 402.29, 404.20, 398.088, 402.68, 2550281
10/23/24, 400.56, 404.2799, 396.69, 399.64, 3159207
10/22/24, 398.50, 402.95, 396.21, 401.85, 4486654
10/21/24, 416.07, 416.555, 404.371, 406.40, 3699527
10/18/24, 416.65, 416.66, 413.24, 415.00, 2436725
10/17/24, 418.61, 419.00, 414.5607, 415.60, 2013819
10/16/24, 413.87, 418.74, 413.87, 418.61, 2429037
10/15/24, 417.95, 421.56, 415.02, 415.58, 3693034
10/14/24, 411.48, 416.42, 411.304, 415.42, 2088681
10/11/24, 410.56, 413.14, 408.84, 411.90, 2717431
10/10/24, 409.72, 414.48, 407.63, 409.96, 3040794
