Date, Open, High, Low, Close, Volume
12/31/24, 74.90, 76.385, 74.78, 75.67, 9425602
12/30/24, 75.60, 75.77, 74.55, 74.65, 9042879
12/27/24, 76.52, 76.93, 75.80, 76.42, 6334415
12/26/24, 76.60, 77.46, 76.54, 76.94, 6367057
12/24/24, 76.75, 77.1099, 76.36, 76.79, 4919075
12/23/24, 76.325, 78.4057, 75.74, 76.76, 14203770
12/20/24, 75.96, 78.00, 74.8587, 76.94, 49883422
12/19/24, 76.94, 77.94, 76.43, 77.10, 27067580
12/18/24, 77.98, 79.00, 76.84, 76.90, 14376890
12/17/24, 77.36, 78.77, 77.25, 78.00, 12452420
12/16/24, 76.76, 79.02, 76.66, 77.20, 13034010
12/13/24, 77.35, 77.83, 76.765, 77.25, 8037339
12/12/24, 78.71, 79.37, 77.855, 77.96, 6983241
12/11/24, 76.79, 78.98, 76.31, 78.85, 12033170
12/10/24, 77.50, 78.0795, 76.62, 76.74, 12193110
12/09/24, 79.44, 79.45, 77.52, 77.64, 12043380
12/06/24, 79.22, 81.18, 78.84, 78.89, 13931060
12/05/24, 78.26, 78.90, 78.10, 78.58, 8316548
12/04/24, 77.82, 78.51, 77.10, 78.37, 15042590
12/03/24, 79.00, 79.40, 77.6101, 78.86, 9414505
12/02/24, 77.915, 79.10, 77.20, 79.09, 11221030
11/29/24, 78.20, 79.18, 78.03, 78.77, 7123471
11/27/24, 77.61, 79.045, 77.59, 78.34, 8713504
11/26/24, 78.90, 78.90, 77.573, 77.61, 9495649
11/25/24, 78.50, 79.8599, 78.41, 79.26, 18328920
11/22/24, 76.125, 77.50, 75.83, 77.40, 12248580
11/21/24, 73.36, 75.56, 73.20, 75.10, 12818640
11/20/24, 73.66, 73.84, 72.71, 73.36, 12290320
11/19/24, 74.50, 74.73, 73.60, 73.91, 12028440
11/18/24, 76.16, 76.20, 74.25, 74.89, 12609190
11/15/24, 76.00, 77.65, 75.61, 76.66, 13584940
11/14/24, 76.68, 76.98, 75.67, 75.68, 6991574
11/13/24, 76.91, 77.29, 76.47, 76.52, 6835348
11/12/24, 76.46, 77.43, 76.14, 76.66, 9013905
11/11/24, 76.15, 77.40, 76.10, 76.60, 9877188
11/08/24, 75.50, 76.555, 75.25, 75.88, 8140788
11/07/24, 75.70, 76.37, 75.21, 75.92, 11831060
11/06/24, 76.87, 76.95, 75.12, 75.32, 16193700
11/05/24, 77.25, 78.00, 77.00, 77.98, 5629199
11/04/24, 77.99, 78.55, 77.115, 77.19, 6593781
11/01/24, 77.05, 78.13, 76.96, 78.06, 9623692
10/31/24, 76.20, 77.34, 75.20, 77.13, 13990090
10/30/24, 78.00, 78.11, 76.42, 76.45, 15691330
10/29/24, 78.88, 79.47, 78.20, 78.40, 7241111
10/28/24, 79.32, 79.64, 78.82, 78.91, 6617243
10/25/24, 79.22, 79.58, 78.5201, 78.85, 9385379
10/24/24, 80.50, 80.80, 79.03, 79.04, 7424459
10/23/24, 81.00, 81.0375, 79.791, 80.05, 7253085
10/22/24, 81.35, 82.42, 81.23, 81.42, 7308823
10/21/24, 82.85, 83.09, 81.44, 81.48, 7550197
10/18/24, 83.78, 83.95, 82.63, 82.92, 7214787
10/17/24, 84.11, 84.762, 83.38, 83.40, 9204490
10/16/24, 82.14, 84.09, 82.05, 83.94, 11220590
10/15/24, 81.05, 82.72, 81.05, 82.12, 11804390
10/14/24, 82.00, 82.04, 80.80, 81.60, 8177686
10/11/24, 82.04, 82.27, 81.18, 82.15, 10171110
10/10/24, 83.40, 83.45, 82.03, 82.10, 8370188
10/09/24, 81.14, 82.925, 81.07, 82.45, 11750640
10/08/24, 80.75, 81.42, 79.93, 80.77, 10569620
10/07/24, 82.14, 82.47, 80.09, 80.83, 12767400
10/04/24, 82.63, 83.54, 82.10, 82.25, 10342360
10/03/24, 82.40, 83.78, 81.98, 82.10, 18143750
10/02/24, 82.885, 85.23, 81.77, 83.10, 33208789
