Date, Open, High, Low, Close, Volume
12/31/24, 177.54, 179.3499, 175.82, 177.00, 9748554
12/30/24, 173.72, 178.17, 170.15, 176.55, 18082311
12/27/24, 180.01, 181.43, 179.40, 180.72, 6806925
12/26/24, 178.98, 182.57, 178.33, 180.38, 5917678
12/24/24, 177.69, 180.95, 177.50, 179.34, 4316969
12/23/24, 178.12, 179.65, 174.2901, 177.69, 8486421
12/20/24, 176.86, 182.00, 175.31, 177.35, 23233670
12/19/24, 175.00, 179.5788, 173.72, 177.04, 14777070
12/18/24, 173.28, 177.94, 171.002, 172.62, 15437180
12/17/24, 173.04, 175.7866, 171.71, 173.03, 13557080
12/16/24, 168.09, 175.20, 166.10, 173.17, 13050710
12/13/24, 168.00, 170.43, 166.33, 169.65, 9754901
12/12/24, 168.23, 168.82, 165.6501, 167.75, 10617740
12/11/24, 165.52, 169.30, 164.381, 165.96, 13116630
12/10/24, 160.00, 166.68, 159.42, 164.10, 17149189
12/09/24, 154.27, 161.95, 154.27, 157.04, 13540020
12/06/24, 157.03, 158.9533, 153.37, 153.93, 8182668
12/05/24, 158.50, 160.02, 156.0475, 156.67, 7119832
12/04/24, 155.88, 160.20, 154.21, 158.28, 9269316
12/03/24, 156.00, 156.6486, 154.42, 155.00, 6130313
12/02/24, 155.91, 160.35, 155.70, 156.54, 10097910
11/29/24, 153.00, 157.5025, 152.85, 155.44, 7100090
11/27/24, 151.11, 152.91, 150.25, 152.40, 5210147
11/26/24, 152.50, 153.1398, 149.80, 150.76, 8234985
11/25/24, 150.70, 153.28, 150.26, 153.10, 11479410
11/22/24, 143.61, 150.339, 143.49, 149.29, 13353080
11/21/24, 146.39, 146.42, 141.34, 143.41, 7845135
11/20/24, 146.04, 147.30, 145.0201, 146.08, 9232114
11/19/24, 143.00, 145.99, 142.6901, 145.60, 8247289
11/18/24, 140.255, 144.69, 138.20, 143.87, 12259930
11/15/24, 138.14, 140.3247, 137.03, 140.19, 12120100
11/14/24, 140.80, 141.55, 137.22, 138.14, 15646710
11/13/24, 145.58, 145.58, 139.10, 139.97, 21249600
11/12/24, 148.40, 148.50, 143.85, 145.17, 16746650
11/11/24, 152.00, 152.50, 148.07, 148.96, 12799080
11/08/24, 151.12, 152.60, 149.43, 151.68, 12996810
11/07/24, 148.80, 152.80, 148.03, 150.98, 14709240
11/06/24, 152.30, 153.20, 144.13, 147.16, 28069289
11/05/24, 157.47, 157.66, 150.65, 151.00, 23126641
11/04/24, 154.62, 156.72, 152.46, 155.07, 10290390
11/01/24, 152.78, 156.00, 151.23, 154.59, 18894510
10/31/24, 154.31, 154.48, 147.88, 149.31, 29388199
10/30/24, 152.51, 156.91, 152.51, 154.29, 50738359
10/29/24, 147.86, 155.99, 147.58, 152.98, 66387680
10/28/24, 153.50, 155.20, 150.61, 150.69, 20992480
10/25/24, 156.20, 157.48, 154.5202, 155.01, 8152969
10/24/24, 152.61, 155.89, 151.98, 155.20, 9774355
10/23/24, 160.00, 161.4725, 153.53, 157.06, 15931490
10/22/24, 160.50, 160.66, 158.37, 159.88, 7380826
10/21/24, 160.25, 163.44, 158.36, 159.82, 13277550
10/18/24, 155.84, 156.37, 153.90, 155.00, 6030173
10/17/24, 155.00, 157.14, 154.25, 155.31, 6291759
10/16/24, 151.91, 154.99, 151.34, 154.90, 8356210
