Date, Open, High, Low, Close, Volume
12/31/24, 43.84, 45.03, 43.72, 44.89, 11688430
12/30/24, 44.24, 44.43, 43.65, 43.94, 12153650
12/27/24, 44.70, 45.06, 44.24, 44.49, 10563770
12/26/24, 44.14, 45.69, 44.01, 44.92, 11338920
12/24/24, 44.00, 44.25, 43.73, 44.25, 5922735
12/23/24, 44.35, 44.375, 43.56, 44.14, 16404971
12/20/24, 43.72, 44.7675, 43.68, 44.36, 21447301
12/19/24, 44.29, 45.29, 43.60, 43.78, 26006199
12/18/24, 44.80, 46.62, 44.59, 45.28, 26201881
12/17/24, 45.97, 46.29, 43.93, 44.04, 29444301
12/16/24, 49.01, 49.1198, 46.38, 46.60, 20783449
12/13/24, 49.14, 49.94, 48.01, 49.37, 17647660
12/12/24, 51.50, 52.17, 49.47, 49.58, 22510301
12/11/24, 54.50, 54.84, 51.73, 51.76, 17924971
12/10/24, 56.00, 56.00, 54.48, 55.15, 12685410
12/09/24, 55.13, 56.27, 54.95, 56.07, 11534950
12/06/24, 57.00, 57.15, 55.24, 55.29, 9635184
12/05/24, 58.14, 58.28, 56.4667, 56.86, 9063465
12/04/24, 59.00, 59.35, 57.78, 58.05, 7953786
12/03/24, 59.92, 60.05, 59.03, 59.19, 9011484
12/02/24, 59.70, 59.75, 58.605, 59.08, 11633670
11/29/24, 59.76, 60.47, 59.61, 59.85, 3947743
11/27/24, 58.98, 60.135, 58.8901, 59.96, 7597444
11/26/24, 59.62, 59.84, 58.3171, 59.01, 7885164
11/25/24, 59.00, 60.29, 58.89, 60.08, 15615740
11/22/24, 57.20, 58.04, 56.6201, 58.01, 11153900
11/21/24, 56.80, 57.15, 56.40, 57.10, 7243215
11/20/24, 56.25, 57.67, 56.00, 56.83, 11449460
11/19/24, 55.57, 56.71, 55.28, 55.77, 12128490
11/18/24, 53.73, 56.78, 53.45, 56.05, 18704100
11/15/24, 54.99, 55.06, 52.71, 53.19, 16695420
11/14/24, 54.02, 55.19, 53.86, 55.09, 8792260
11/13/24, 53.89, 54.63, 53.68, 54.27, 8050715
11/12/24, 55.62, 55.62, 53.51, 54.03, 15970330
11/11/24, 55.583, 56.43, 55.16, 55.81, 11570600
11/08/24, 57.19, 57.28, 55.45, 55.54, 13650270
11/07/24, 61.29, 61.69, 57.06, 57.07, 22292311
11/06/24, 61.70, 63.33, 60.82, 61.61, 29141141
11/05/24, 54.50, 55.35, 54.31, 55.34, 11114960
11/04/24, 55.97, 56.65, 54.65, 54.65, 11544200
11/01/24, 56.74, 57.23, 55.62, 55.81, 13589360
10/31/24, 56.75, 57.32, 55.94, 56.46, 7558969
10/30/24, 56.26, 56.80, 56.16, 56.39, 8643009
10/29/24, 57.10, 57.50, 56.20, 56.25, 6814034
10/28/24, 56.55, 57.72, 56.47, 57.36, 9021590
10/25/24, 56.38, 57.36, 56.33, 56.49, 8439033
10/24/24, 56.69, 57.18, 56.09, 56.12, 8811371
10/23/24, 56.70, 57.20, 56.46, 56.78, 9942318
10/22/24, 57.85, 57.93, 56.6824, 56.85, 14553590
10/21/24, 59.75, 60.28, 57.87, 58.17, 13579740
10/18/24, 59.54, 60.4599, 57.47, 60.34, 42250230
10/17/24, 63.41, 63.92, 62.50, 63.67, 9744265
10/16/24, 65.24, 65.83, 64.90, 65.02, 10734040
10/15/24, 64.47, 66.09, 63.60, 65.00, 17216590
10/14/24, 66.77, 67.795, 66.52, 67.46, 13436320
10/11/24, 67.10, 67.70, 66.28, 66.63, 12908850
10/10/24, 67.38, 67.67, 66.65, 66.85, 12759810
10/09/24, 65.90, 66.02, 64.91, 65.97, 8604812
10/08/24, 65.30, 66.10, 64.95, 65.90, 10476560
10/07/24, 64.27, 65.70, 64.0905, 65.25, 11720110
10/04/24, 63.72, 65.57, 63.6643, 64.59, 16313880
10/03/24, 61.95, 63.22, 61.46, 62.92, 10141640
10/02/24, 63.01, 63.96, 61.8898, 62.24, 22297770
10/01/24, 63.00, 63.18, 60.76, 61.54, 16285910
09/30/24, 63.105, 63.60, 62.22, 62.88, 16059750
09/27/24, 59.45, 61.86, 59.29, 61.38, 12510220
09/26/24, 58.74, 59.08, 58.35, 59.01, 8357246
09/25/24, 58.82, 59.33, 58.32, 58.64, 11270730
09/24/24, 57.64, 58.23, 57.32, 58.08, 7813642
09/23/24, 57.57, 58.10, 57.3201, 57.57, 9407147
09/20/24, 58.00, 58.08, 57.13, 57.51, 10239970
09/19/24, 58.70, 59.10, 58.12, 58.40, 4885434
09/18/24, 57.88, 59.19, 57.7463, 58.42, 5104313
09/17/24, 58.37, 58.75, 57.56, 57.83, 6171148
09/16/24, 58.32, 58.64, 57.88, 58.37, 5169872
09/13/24, 57.56, 58.27, 57.10, 57.98, 7429524
09/12/24, 56.34, 57.74, 55.88, 57.53, 7140186
09/11/24, 56.35, 56.35, 54.81, 56.11, 9768354
09/10/24, 56.58, 57.07, 55.73, 56.94, 5113498
09/09/24, 57.95, 58.14, 55.51, 56.47, 9140105
09/06/24, 58.14, 59.12, 57.65, 57.75, 6263025
09/05/24, 59.50, 59.6296, 57.40, 58.07, 7022197
09/04/24, 57.39, 59.86, 57.26, 59.30, 14231270
09/03/24, 57.20, 58.50, 57.11, 57.38, 11601400
08/30/24, 56.96, 57.42, 56.85, 57.24, 8188057
08/29/24, 57.35, 57.4838, 56.50, 56.97, 9180970
08/28/24, 57.50, 57.93, 56.77, 57.24, 7963588
08/27/24, 58.62, 58.74, 57.43, 57.46, 6180854
08/26/24, 58.70, 59.79, 58.57, 58.70, 6892582
08/23/24, 58.06, 58.85, 57.765, 58.75, 9614381
08/22/24, 58.46, 58.46, 57.165, 57.74, 7883056
08/21/24, 58.99, 59.24, 58.08, 58.32, 4730369
08/20/24, 58.70, 59.2499, 58.5147, 58.90, 4178664
